accession	collected_by	collection_date	country	identified_by	lat_lon	scientific_name	specimen_voucher	sequence_length	trace_count
GU571503	Lufthavnvakta	04-Jun-2004	Norway: Troms, Langnes Flyplass		69.68 N 18.92 E	Numenius arquata	NHMO-BC380	695	1
GU571502	Jan T. Lifjeld	25-Jun-2005	Norway: Rogaland, Revtangen		58.73 N 5.52 E	Numenius arquata	NHMO-BC192	750	2
GU571501	Jan T. Lifjeld	31-Aug-1995	Norway: Oslo, Toyenparken		59.92 N 10.77 E	Nucifraga caryocatactes	NHMO-BC284	722	2
GU571496	Jan T. Lifjeld	31-Aug-1995	Norway: Oslo, Toyenparken		59.917 N 10.767 E	Nucifraga caryocatactes	NHMO-BC72	751	2
GU571491	Trond Oigarden	24-May-2006	Norway: Hedmark, Renmyrsjoen		60.85 N 11.93 E	Motacilla flava	NHMO-BC271	750	2
GU571490	Bjorn-Aksel Bjerke	05-May-2004	Norway: Ostfold, Nordalen sag		59.60 N 10.93 E	Motacilla cinerea	NHMO-BC231	752	2
GU571489	Bjorn A. Bjerke	07-May-2004	Norway: Ostfold, Hobol		59.58 N 11.00 E	Motacilla cinerea	NHMO-BC2	741	2
GU571488	Bjorn A. Bjerke	05-May-2004	Norway: Ostfold, Hobol		59.58 N 11.00 E	Motacilla cinerea	NHMO-BC1	690	2
GU571485	Bengt Altmann	01-Jan-1999	Norway: Finnmark, Gjessvaer		71.10 N 25.35 E	Morus bassanus	NHMO-BC145	751	2
GU571484	Jostein Kristiansen	01-Jun-1991	Norway: Troms, Hattoya, Rebbenesoya		70.13 N 18.70 E	Morus bassanus	NHMO-BC146	751	2
GU571483	Lars Erik Johannessen	22-Dec-2002	Norway: Vest-Agder, As		58.88 N 7.634 E	Mergus serrator	NHMO-BC441	723	4
GU571482	Roar Solheim		Norway			Mergus serrator	NHMO-BC113	745	2
GU571481	Roar Solheim	01-Sep-1996	Norway: Vest-Agder			Mergus merganser	NHMO-BC112	751	2
GU571479	Roar Solheim	05-Jan-2000	Norway: Vest-Agder, Lomsesanden		58.06 N 6.79 E	Melanitta fusca	NHMO-BC110	700	2
GU571478	Truls W. Andersen	29-Sep-2003	Norway: Rogaland, Utsira		59.317 N 4.883 E	Lymnocryptes minimus	NHMO-BC50	740	2
GU571477	Truls W. Andersen	29-Sep-2003	Norway: Rogaland, Utsira		59.317 N 4.883 E	Lymnocryptes minimus	NHMO-BC51	751	2
GU571476	Arild Johnsen	21-May-2004	Norway: Oppland, Ovre Heimdalen		61.42 N 8.87 E	Luscinia svecica	NHMO-BC478	697	2
GU571475	Arild Johnsen	27-May-2004	Norway: Oppland, Ovre Heimdalen		61.42 N 8.87 E	Luscinia svecica	NHMO-BC477	740	2
GU571474		02-Jun-2003	Norway: Telemark, Kragero		58.867 N 9.60 E	Luscinia luscinia	NHMO-BC39	750	2
