scientific_name	count	max_intra	min_inter
Aythya fuligula	5	0.0	0.009259000420570374
Aythya marila	4	0.003085999982431531	0.009259000420570374
Aythya valisineria	1		0.004650999791920185
Baeolophus atricristatus	2	0.0	0.009201999753713608
Baeolophus bicolor	1		0.009201999753713608
Baeolophus inornatus	4	0.0075610000640153885	0.053679998964071274
Bangsia arcaei	4	0.0	0.07332000136375427
Bartramia longicauda	1		0.11089999973773956
Baryphthengus martii	3	0.033900000154972076	0.13300000131130219
Basileuterus bivittatus	2	0.001534000039100647	0.001534000039100647
Basileuterus bivittatus roraimae	1		0.001534000039100647
Basileuterus flaveolus	5	0.0016159999649971724	0.04992000013589859
Basileuterus fulvicauda	1		0.03220999985933304
Basileuterus leucoblepharus lemurum	1		0.04992000013589859
Basileuterus melanogenys	3	0.006134999915957451	0.059769999235868454
Basileuterus rivularis	6	0.0	0.03220999985933304
Basileuterus tristriatus	3	0.0030670000705868006	0.052149999886751175
Berlepschia rikeri	3	0.0	0.1282999962568283
Bleda eximius	3	0.004600999876856804	0.08895999938249588
Bleda syndactylus	3	0.004600999876856804	0.08895999938249588
Bolbopsittacus lunulatus	3	0.0	0.11060000211000443
Bombycilla garrulus	6	0.01931999996304512	0.11729999631643295
Botaurus lentiginosus	1		0.04769999906420708
Botaurus pinnatus	2	0.006318999920040369	0.04769999906420708
Botaurus stellaris	2	0.0	0.07582999765872955
Brachygalba lugubris	3	0.044679999351501465	0.14640000462532043
Brachypteryx leucophrys	2	0.001534000039100647	0.11429999768733978
Brachyramphus brevirostris	1		0.10840000212192535
Bradypterus tacsanowskius	1		0.058639999479055405
Branta bernicla	1		0.04938000068068504
Branta canadensis	4	0.003085999982431531	0.005764000117778778
Branta leucopsis	3	0.001686000032350421	0.016979999840259552
Branta sandvicensis	2	0.0	0.005764000117778778
Brotogeris chrysoptera	3	0.001534000039100647	0.04447999969124794
Brotogeris jugularis	1		0.04447999969124794
Bubo bubo	4	0.003085999982431531	0.07534000277519226
Bubo scandiacus	4	0.006173000205308199	0.07534000277519226
Bubo virginianus	1		0.0754999965429306
Bubulcus ibis	4	0.0014410000294446945	0.06369999796152115
Bucco capensis	2	0.001534000039100647	0.09201999753713608
Bucco tamatia	3	0.0015529999509453773	0.09245000034570694
Bucco tectus	1		0.001534000039100647
Bucephala albeola	1		0.04735000059008598
Bucephala clangula	3	0.0	0.015309999696910381
Bucephala islandica	1		0.015309999696910381
Buceros hydrocorax	1		0.12600000202655792
Bulweria bulwerii	2	0.0015750000020489097	0.09091000258922577
Burhinus bistriatus	3	0.0030670000705868006	0.1152999997138977
Burhinus oedicnemus	1		0.1152999997138977
Busarellus nigricollis	1		0.07704000174999237
Buteo albicaudatus	2	0.001534000039100647	0.04447999969124794
Buteo albonotatus	2	0.001766999950632453	0.01413000002503395
Buteo brachyurus	1		0.012269999831914902
Buteo buteo	3	0.0	0.01080000028014183
Buteo lagopus	4	0.0013790000230073929	0.01080000028014183
Buteo lineatus	2	0.0	0.02607000060379505
Buteo nitidus	2	0.04194999858736992	0.04447999969124794
Buteo platypterus	1		0.03260999917984009
Buteo solitarius	3	0.0	0.01075000036507845
Buteo swainsoni	1		0.01075000036507845
Buteogallus aequinoctialis	3	0.004600999876856804	0.007668999955058098
Buteogallus anthracinus	4	0.0	0.007668999955058098
