scientific_name	count	max_intra	min_inter
Coracias garrulus	2	0.003527000080794096	0.11990000307559967
Coragyps atratus	2	0.0	0.13699999451637268
Corvus caurinus	1		0.041120000183582306
Corvus corax	6	0.04340000078082085	0.006943999789655209
Corvus cornix	4	0.003085999982431531	0.0
Corvus corone	6	0.024809999391436577	0.0
Corvus cryptoleucus	2	0.001610000035725534	0.006943999789655209
Corvus frugilegus	9	0.00636899983510375	0.05428000167012215
Corvus macrorhynchos	1		0.06536000221967697
Corvus monedula	4	0.004629999864846468	0.061730001121759415
Corvus ossifragus	1		0.07822000235319138
Coturnix coturnix	1		0.01720999926328659
Coturnix japonica	1		0.01720999926328659
Crex crex	1		0.10610000044107437
Crotophaga sulcirostris	1		0.13330000638961792
Cuculus canorus	3	0.027780000120401382	0.1264999955892563
Cyanistes caeruleus	5	0.009695000015199184	0.0910400003194809
Cyanocitta stelleri	9	0.005779999773949385	0.1006999984383583
Cygnus columbianus	1		0.007716000080108643
Cygnus cygnus	3	0.003085999982431531	0.007716000080108643
Cygnus olor	3	0.004629999864846468	0.08795999735593796
Delichon urbicum	4	0.007716000080108643	0.09781000018119812
Dendragapus obscurus	1		0.05674999952316284
Dendrocopos leucotos	3	0.003085999982431531	0.03240999951958656
Dendrocopos major	5	0.001386999967508018	0.03240999951958656
Dendrocopos minor	3	0.0015950000379234552	0.07238999754190445
Diglossa sittoides	1		0.09470000118017197
Diglossopis cyanea	2	0.0	0.07925000041723251
Dryocopus martius	3	0.0	0.11029999703168869
Dumetella carolinensis	7	0.008646000176668167	0.08786000311374664
Egretta caerulea	2	0.0	0.06891000270843506
Egretta garzetta	3	0.004650999791920185	0.07325000315904617
Egretta tricolor	3	0.0016029999824240804	0.06891000270843506
Elanus leucurus	2	0.0	0.13770000636577606
Emberiza calandra	1		0.07005999982357025
Emberiza cioides	3	0.0029990000184625387	0.07005999982357025
Emberiza citrinella	5	0.007716000080108643	0.07934000343084335
Emberiza fucata	3	0.0	0.07739000022411346
Emberiza hortulana	2	0.0013510000426322222	0.07739000022411346
Emberiza pusilla	4	0.020059999078512192	0.06216000020503998
Emberiza schoeniclus	5	0.006328999996185303	0.06196000054478645
Empidonax fulvifrons	2	0.0	0.0811299979686737
