scientific_name	count	max_intra	min_inter
Criniger calurus	3	0.09708999842405319	0.10029999911785126
Crypturellus brevirostris	3	0.001534000039100647	0.1379999965429306
Crypturellus cinereus	3	0.003780999919399619	0.15639999508857727
Crypturellus erythropus	1		0.11810000240802765
Crypturellus soui	2	0.004600999876856804	0.12729999423027039
Crypturellus variegatus	3	0.0015800000401213765	0.11810000240802765
Culicicapa ceylonensis	2	0.004600999876856804	0.1103999987244606
Cyanerpes caeruleus	2	0.0031300000846385956	0.052149999886751175
Cyanerpes cyaneus	3	0.010739999823272228	0.06441999971866608
Cyanerpes lucidus	1		0.05530000105500221
Cyanerpes nitidus	1		0.052149999886751175
Cyanocorax affinis	1		0.03220999985933304
Cyanocorax cayanus	3	0.006260000169277191	0.03220999985933304
Cyanocorax morio	1		0.08281999826431274
Cyanoloxia glaucocaerulea	3	0.0030670000705868006	0.08521000295877457
Cyanolyca cucullata	1		0.09201999753713608
Cyanomitra cyanolaema	3	0.009317000396549702	0.08589000254869461
Cyanomitra olivacea	2	0.0016339999856427312	0.08978000283241272
Cyanomitra verticalis	3	0.004807999823242426	0.08589000254869461
Cyanoptila cyanomelana	2	0.001534000039100647	0.10360000282526016
Cyclarhis gujanensis	3	0.08764000236988068	0.09968999773263931
Cymbilaimus lineatus	4	0.01686999946832657	0.10119999945163727
Cyornis rubeculoides	3	0.04447999969124794	0.10119999945163727
Cyphorhinus arada	3	0.001534000039100647	0.07975000143051147
Cyphorhinus phaeocephalus	1		0.07975000143051147
Cypseloides cryptus	1		0.10279999673366547
Cypseloides phelpsi	3	0.0	0.08371999859809875
Dacnis cayana	3	0.0031300000846385956	0.05928000062704086
Dacnis lineata	1		0.05928000062704086
Daptrius americanus	5	0.007668999955058098	0.07514999806880951
Daptrius ater	2	0.001534000039100647	0.02761000022292137
Dasylophus superciliosus	1		0.10740000009536743
Deconychura longicauda	2	0.0	0.09968999773263931
Deconychura stictolaema	3	0.0030720001086592674	0.10890000313520432
Deleornis fraseri	3	0.009201999753713608	0.08895999938249588
Delichon urbicum	2	0.004600999876856804	0.10740000009536743
Dendrocincla merula	1		0.09048999845981598
Dendrocolaptes certhia	1		0.020059999078512192
Dendrocolaptes concolor	1		0.020059999078512192
Dendrocolaptes picumnus	5	0.023010000586509705	0.07716000080108643
Dendrocopos canicapillus	2	0.004600999876856804	0.04907999932765961
Dendrocopos maculatus	1		0.04907999932765961
Deroptyus accipitrinus	2	0.007679999805986881	0.09815999865531921
Dicaeum chrysorrheum	1		0.09091000258922577
Dicaeum concolor	1		0.02761000022292137
Dicaeum eximium	2	0.007668999955058098	0.09670999646186829
Dicaeum pygmaeum	1		0.02761000022292137
Dicrurus adsimilis	3	0.006461999844759703	0.0888499990105629
Dicrurus balicassius	1		0.05837000161409378
Dicrurus hottentottus	2	0.013799999840557575	0.053679998964071274
Dicrurus leucophaeus	3	0.001534000039100647	0.08138000220060349
